iteration,me_cells,me_admitted,me_replaced,me_cell_size,explore_pool_best_sdy,explore_stall,explore_boost,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
153,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.009477,10.26023,2.555943,0.373603,0.234375,2.571979,1.0,0.01,0.5,111.622444,11.0,2517.0,40.0,-0.4119,-2635.975,6400.0
154,11.0,1.0,1.0,5.0,4.28,5.0,0.8,-0.060125,20.397144,2.555943,0.652717,0.28125,5.036605,1.0,0.01,0.5,125.823738,11.0,2603.0,40.0,-0.1716,-1098.2634,6400.0
155,11.0,0.0,0.0,5.0,4.28,6.0,0.8,0.135282,12.441059,2.555943,0.199105,0.265625,3.242991,1.0,0.01,0.5,120.885144,11.0,2603.0,40.0,0.1555,995.3108,6400.0
156,11.0,0.0,0.0,5.0,4.28,7.0,0.8,-0.005428,6.019462,2.555943,0.25498,0.328125,1.496881,1.0,0.01,0.5,117.191069,11.0,2603.0,40.0,0.1226,784.8482,6400.0
157,11.0,0.0,0.0,5.0,4.28,0.0,0.8,-0.015121,6.102329,2.555943,0.408953,0.359375,1.507906,1.0,0.01,0.5,112.506586,11.0,2603.0,40.0,-0.0266,-170.0644,6400.0
158,11.0,0.0,0.0,5.0,4.28,1.0,0.8,0.083556,8.598221,2.555943,0.378167,0.328125,2.230556,1.0,0.01,0.5,112.228248,11.0,2603.0,40.0,-0.0579,-370.8529,6400.0
159,11.0,0.0,0.0,5.0,4.28,2.0,0.8,0.117587,4.695287,2.555943,0.334134,0.3125,1.288852,1.0,0.01,0.5,108.320687,11.0,2603.0,40.0,0.1514,968.6557,6400.0
160,11.0,0.0,0.0,5.0,4.28,3.0,0.8,-0.037028,5.82142,2.555943,0.302351,0.328125,1.415771,1.0,0.01,0.5,104.133028,11.0,2603.0,40.0,-0.0803,-514.1016,6400.0
161,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.240527,5.349657,2.555943,0.625137,0.34375,1.575385,1.0,0.01,0.5,102.639189,11.0,2603.0,40.0,0.152,973.1161,6400.0
162,11.0,0.0,0.0,5.0,4.28,5.0,0.8,0.125567,5.802665,2.555943,0.220004,0.3125,1.573677,1.0,0.01,0.5,94.670962,11.0,2603.0,40.0,-0.1023,-654.6057,6400.0
163,11.0,0.0,0.0,5.0,4.28,6.0,0.8,0.190839,9.889305,2.555943,0.290924,0.25,2.66061,1.0,0.01,0.5,95.959381,11.0,2603.0,40.0,-0.1388,-888.4374,6400.0
164,11.0,0.0,0.0,5.0,4.28,7.0,0.8,-0.134723,8.911581,2.555943,0.383803,0.375,2.090617,1.0,0.01,0.5,98.134822,11.0,2603.0,40.0,0.1189,760.6635,6400.0
165,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.077177,12.390244,2.555943,0.578541,0.34375,3.172183,1.0,0.01,0.5,93.663145,11.0,2603.0,40.0,-0.3685,-2358.1119,6400.0
