iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
80,-0.019082,18.478639,-0.361217,0.01763,0.109375,4.600939,7.0,0.019683,0.5,,-0.1843,-921.3964,5000.0,86.159929,20.0,8409.0,40.0
81,-0.035649,11.814604,-0.361358,0.022264,0.1375,2.918363,5.0,0.019683,0.5,,-0.1821,-910.304,5000.0,91.387311,20.0,8409.0,40.0
82,-0.074837,28.274527,-0.361503,0.010685,0.125,6.994156,4.0,0.019683,0.5,,-0.15,-749.9209,5000.0,85.243697,20.0,8409.0,40.0
83,0.063216,15.366015,-0.361616,0.013223,0.148438,3.905082,4.0,0.019683,0.5,,-0.341,-1705.0185,5000.0,87.053195,20.0,8409.0,40.0
84,0.02716,12.25529,-0.361646,0.024446,0.183594,3.091345,4.0,0.019683,0.5,,-0.2257,-1128.4582,5000.0,86.677199,20.0,8409.0,40.0
85,0.037864,17.054706,-0.361583,0.023558,0.167969,4.301902,4.0,0.019683,0.5,,-0.2153,-1076.6012,5000.0,84.357633,20.0,8409.0,40.0
86,-0.066147,17.578882,-0.361513,0.025337,0.19375,4.328935,5.0,0.019683,0.5,,-0.2153,-1076.3356,5000.0,87.935984,20.0,8409.0,40.0
87,-0.014757,9.697695,-0.361468,0.014742,0.136719,2.410029,4.0,0.019683,0.5,,-0.2099,-1049.5604,5000.0,88.575988,20.0,8409.0,40.0
88,-0.03192,16.830493,-0.361542,0.019363,0.210938,4.176065,4.0,0.019683,0.5,,-0.2153,-1076.64,5000.0,84.219675,20.0,8409.0,40.0
89,0.079408,13.440304,-0.361701,0.013817,0.117188,3.439845,4.0,0.019683,0.5,,-0.2145,-1072.3854,5000.0,88.300939,20.0,8409.0,40.0
90,-0.057363,22.878465,-0.361873,0.01236,0.113281,5.662615,4.0,0.019683,0.5,,-0.1756,-878.1157,5000.0,84.975272,20.0,8409.0,40.0
91,0.093879,17.019012,-0.362004,0.014253,0.146875,4.348994,5.0,0.019683,0.5,,-0.2103,-1051.7056,5000.0,85.896184,20.0,8409.0,40.0
92,-0.057791,25.46511,-0.361998,0.01564,0.15625,6.308848,5.0,0.019683,0.5,,-0.1404,-701.8074,5000.0,82.79077,20.0,8229.0,40.0
93,0.049149,12.154265,-0.361904,0.025892,0.125,3.088077,3.0,0.019683,0.5,,-0.2236,-1117.9077,5000.0,88.260959,20.0,8229.0,40.0
94,-0.034141,17.591336,-0.361925,0.018547,0.1375,4.364055,5.0,0.019683,0.5,,-0.1842,-920.9727,5000.0,81.694295,20.0,8229.0,40.0
95,-0.03352,28.003394,-0.362078,0.010785,0.138021,6.967691,6.0,0.019683,0.5,,-0.1948,-973.9678,5000.0,86.036014,20.0,8338.0,40.0
96,0.134225,21.601229,-0.362232,0.01472,0.167969,5.534895,4.0,0.019683,0.5,,-0.221,-1105.1789,5000.0,83.285889,20.0,8338.0,40.0
97,-0.138274,21.947486,-0.362326,0.016365,0.1875,5.34896,3.0,0.019683,0.5,,-0.2033,-1016.3829,5000.0,83.187511,20.0,8338.0,40.0
98,0.106379,27.087466,-0.362482,0.015939,0.171875,6.878607,5.0,0.019683,0.5,,-0.2068,-1034.107,5000.0,82.465565,20.0,8338.0,40.0
99,0.015455,20.020642,-0.362733,0.01483,0.151042,5.020978,6.0,0.019683,0.5,,-0.2284,-1141.9742,5000.0,83.476445,20.0,8338.0,40.0
100,0.051244,19.293078,-0.362856,0.020111,0.152344,4.874876,4.0,0.019683,0.5,,-0.2671,-1335.3874,5000.0,85.254001,20.0,8338.0,40.0
101,-0.042022,41.09325,-0.362805,0.017178,0.167969,10.231653,4.0,0.019683,0.5,,-0.197,-985.2155,5000.0,79.369876,20.0,8338.0,40.0
102,-0.036479,32.82651,-0.362738,0.012889,0.128906,8.170511,4.0,0.019683,0.5,,-0.2173,-1086.2546,5000.0,81.708589,20.0,8338.0,40.0
103,0.06126,15.455457,-0.362667,0.015098,0.171875,3.925487,4.0,0.019683,0.5,,-0.2386,-1192.9235,5000.0,81.694144,20.0,8338.0,40.0
104,0.019022,21.534277,-0.36257,0.018432,0.226562,5.402954,6.0,0.019683,0.5,,-0.2076,-1038.0374,5000.0,79.051905,20.0,8338.0,40.0
105,-0.002611,17.447737,-0.362575,0.031016,0.175781,4.359685,4.0,0.017715,0.5,,-0.1949,-974.6585,5000.0,74.398986,20.0,8338.0,40.0
106,0.056645,22.266625,-0.3626,0.01195,0.14375,5.623664,5.0,0.017715,0.5,,-0.1926,-962.7841,5000.0,80.507071,20.0,8379.0,40.0
107,0.044688,18.695582,-0.362667,0.013299,0.15,4.718946,5.0,0.017715,0.5,,-0.2213,-1106.2914,5000.0,76.055449,20.0,8379.0,40.0
108,-0.05283,20.370356,-0.362669,0.011598,0.136719,5.040121,4.0,0.017715,0.5,,-0.2316,-1157.9542,5000.0,78.470573,20.0,8379.0,40.0
109,-0.103571,27.549489,-0.362631,0.017316,0.121094,6.784164,4.0,0.017715,0.5,,-0.2169,-1084.7206,5000.0,80.413097,20.0,8379.0,40.0
110,0.023449,21.758991,-0.362686,0.015706,0.165625,5.463559,5.0,0.017715,0.5,,-0.1963,-981.6962,5000.0,76.833944,20.0,8379.0,40.0
111,0.078349,35.403302,-0.362736,0.014386,0.175,8.929537,5.0,0.017715,0.5,,-0.1906,-953.1038,5000.0,77.538509,20.0,8307.0,40.0
112,-0.036289,26.049081,-0.362764,0.021493,0.171875,6.476344,6.0,0.017715,0.5,,-0.1747,-873.6267,5000.0,78.281945,20.0,8307.0,40.0
