iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
126,0.005039,41.003943,-0.363024,0.019755,0.101562,10.256387,4.0,0.01,0.5,,0.2865,1432.3959,5000.0,85.329777,20.0,7814.0,40.0
127,0.023395,13.996425,-0.363066,0.013452,0.09375,3.522865,4.0,0.01,0.5,,0.2784,1392.1789,5000.0,86.696319,20.0,7814.0,40.0
128,-0.045544,46.981719,-0.363204,0.008928,0.109375,11.700249,3.0,0.01,0.5,,0.2474,1236.8329,5000.0,83.659313,20.0,7814.0,40.0
129,-0.049973,28.453822,-0.363335,0.009055,0.088542,7.063845,3.0,0.01,0.5,,0.2342,1171.0327,5000.0,83.63491,20.0,7814.0,40.0
130,-0.079452,27.32632,-0.3635,0.010186,0.144531,6.752492,4.0,0.01,0.5,,0.2637,1318.5466,5000.0,85.713064,20.0,7814.0,40.0
131,0.004029,62.540167,-0.363604,0.007783,0.09375,15.639435,4.0,0.01,0.5,,0.272,1359.8074,5000.0,82.78861,20.0,7814.0,40.0
132,0.10483,19.641544,-0.363734,0.006882,0.098958,5.015579,3.0,0.01,0.5,,0.3071,1535.3915,5000.0,81.641689,20.0,7814.0,40.0
133,-0.059309,12.108923,-0.363887,0.008999,0.070312,2.968286,4.0,0.01,0.5,,0.2395,1197.483,5000.0,83.936893,20.0,7814.0,40.0
134,0.047067,59.557718,-0.363985,0.014013,0.121875,14.93686,5.0,0.01,0.5,,0.2662,1331.139,5000.0,82.677599,20.0,7737.0,40.0
135,-0.128907,68.863421,-0.364066,0.011391,0.023438,17.087313,2.0,0.01,0.5,,0.2446,1223.1076,5000.0,79.954177,20.0,7737.0,40.0
136,0.105874,17.197307,-0.364133,0.008789,0.057292,4.405565,3.0,0.01,0.5,,0.287,1435.1753,5000.0,77.510625,20.0,7737.0,40.0
137,-0.08597,41.22925,-0.364235,0.012791,0.152344,10.221707,4.0,0.01,5.0,,0.3276,1638.0436,5000.0,128.90324,20.0,7737.0,40.0
